id,job_title,rating,company_name,location,headquarters,size,founded,type_of_ownership,industry,sector,revenue,competitors,hourly,employer_provided,lower_salary,upper_salary,job_location,age,python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,degree,City,State,estimated_revenue,avg_salary
839,Data Scientist,3.5,Charter Spectrum,"Maryland Heights, MO","North Salt Lake, Ut",Jan-50,1992,School / School District,K-12 Education,Education,$5 to $10 million (USD),Unknown,0,0,71000,121000,MO,29.0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Other,P,Maryland Heights,Mo,500000.0,96000.0
840,Machine Learning Engineer,4.0,Mteq,"Fort Belvoir, VA","Lorton, Va",501 - 1000,1954,Company - Public,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"Harris, Fibertek",0,0,62000,112000,VA,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Machine Learning Engineer,Other,Unknown,Fort Belvoir,Va,500000.0,87000.0
841,Data Scientist,3.7,Brillient,"Silver Spring, MD","Reston, Va",201 - 500,2006,Company - Private,It Services,Information Technology,$25 to $50 million (USD),Unknown,0,0,64000,108000,MD,15.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,M,Silver Spring,Md,500000.0,86000.0
845,Senior Data Scientist,4.4,Entefy,"Palo Alto, CA","Palo Alto, Ca",Jan-50,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown,0,0,89000,144000,CA,9.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Sr,M,Palo Alto,Ca,500000.0,116500.0
848,Senior Scientist (Neuroscience),3.5,Sunovion,"Marlborough, MA","Marlborough, Ma",1001 - 5000,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),"Shire, GlaxoSmithKline, Allergan",0,0,109000,200000,MA,11.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Sr,P,Marlborough,Ma,500000.0,154500.0
851,Marketing Data Analyst,3.6,San Manuel Casino,"Highland, CA","Highland, Ca",1001 - 5000,1986,Company - Private,Gambling,"Arts, Entertainment & Recreation",$100 to $500 million (USD),Unknown,0,0,35000,62000,CA,35.0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,Analyst,Other,M,Highland,Ca,500000.0,48500.0
852,Machine Learning Engineer - Regulatory,3.7,Cboe Global Markets,"Lenexa, KS","Chicago, Il",501 - 1000,1973,Company - Public,Stock Exchanges,Finance,$500 million to $1 billion (USD),Unknown,0,0,61000,113000,KS,48.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Machine Learning Engineer,Other,Unknown,Lenexa,Ks,500000.0,87000.0
853,Data Engineer,3.4,Trace3,"Houston, TX","Irvine, Ca",501 - 1000,2002,Company - Private,It Services,Information Technology,$1 to $2 billion (USD),"World Wide Technology, Presidio, Optiv",0,0,55000,105000,TX,19.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Data Engineer,Other,Unknown,Houston,Tx,500000.0,80000.0
854,Medical Laboratory Scientist,4.0,Texas Health Huguley Hospital,"Burleson, TX","Arlington, Tx",1001 - 5000,1977,Hospital,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Unknown,1,0,37000,52000,TX,44.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,Unknown,Burleson,Tx,500000.0,44500.0
855,Principal Data Scientist,3.7,Northrop Grumman,"San Jose, CA","Falls Church, Va",10000+,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Unknown,0,0,135000,211000,CA,82.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Sr,M,San Jose,Ca,500000.0,173000.0
856,R&D Specialist/ Food Scientist,2.4,Teasdale Latin Foods,"Hoopeston, IL","Flower Mound, Tx",501 - 1000,1992,Company - Private,Food & Beverage Manufacturing,Manufacturing,$100 to $500 million (USD),Unknown,0,0,39000,66000,IL,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,Unknown,Hoopeston,Il,500000.0,52500.0
857,Data Engineer,3.5,Saama Technologies Inc,"Phoenix, AZ","Campbell, Ca",501 - 1000,1997,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Accenture, Deloitte, IBM",0,0,57000,80000,AZ,24.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Engineer,Other,Unknown,Phoenix,Az,500000.0,68500.0
858,"Associate Principal Scientist, Pharmacogenomics",3.9,Astrazeneca,"Gaithersburg, MD","Cambridge, United Kingdom",10000+,1913,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Roche, GlaxoSmithKline, Novartis",0,0,63000,127000,MD,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Sr,P,Gaithersburg,Md,500000.0,95000.0
859,Data Scientist - Systems Engineering,3.2,Mitre,"Bedford, MA","Bedford, Ma",5001 - 10000,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",0,0,50000,89000,MA,63.0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,Data Scientist,Other,Unknown,Bedford,Ma,500000.0,69500.0
860,Senior Data Scientist,4.4,The David J. Joseph Company,"Cincinnati, OH","Cincinnati, Oh",201 - 500,1885,Subsidiary Or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,Unknown,0,0,82000,132000,OH,136.0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Data Scientist,Sr,M,Cincinnati,Oh,500000.0,107000.0
861,Data Scientist Sr,3.9,The Buffalo Group,"Charlottesville, VA","Reston, Va",501 - 1000,2010,Company - Private,It Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,85000,139000,VA,11.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Data Scientist,Sr,M,Charlottesville,Va,500000.0,112000.0
863,Data Scientist,3.4,Compqsoft,"Washington, DC","Houston, Tx",51 - 200,1997,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Unknown,0,0,72000,121000,DC,24.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Data Scientist,Other,M,Washington,Dc,500000.0,96500.0
864,"Scientist, Bacteriology",2.1,Cerus Corporation,"Concord, CA","Concord, Ca",201 - 500,1992,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$25 to $50 million (USD),Unknown,0,0,74000,149000,CA,29.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,P,Concord,Ca,500000.0,111500.0
866,"Associate Director, Platform And Devops- Data Engineering And Aritifical Intelligence",3.7,Takeda Pharmaceuticals,"Cambridge, MA","Osaka, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,113000,196000,MA,240.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,Data Engineer,Other,M,Cambridge,Ma,500000.0,154500.0
867,Data Scientist,3.4,"Remedy Bpci Partners, Llc.","New York, NY","Norwalk, Ct",201 - 500,2011,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Healthfirst (New York), naviHealth",0,0,69000,121000,NY,10.0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,Data Scientist,Other,Unknown,New York,Ny,500000.0,95000.0
868,Data Scientist,4.0,Strategic Financial Solutions,"New York, NY","New York, Ny",501 - 1000,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,"National Debt Relief, Freedom Financial Network",0,0,71000,124000,NY,14.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,New York,Ny,500000.0,97500.0
869,Senior Data Scientist,4.4,Maven Wave Partners,"Chicago, IL","Chicago, Il",201 - 500,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD),Unknown,0,0,97000,160000,IL,13.0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,Data Scientist,Sr,Unknown,Chicago,Il,500000.0,128500.0
870,Senior Research Scientist-Machine Learning,2.6,Software Engineering Institute,"Pittsburgh, PA","Pittsburgh, Pa",501 - 1000,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,Unknown,0,0,81000,167000,PA,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Machine Learning Engineer,Sr,P,Pittsburgh,Pa,500000.0,124000.0
871,Principal Data Scientist,3.2,The Climate Corporation,"San Francisco, CA","San Francisco, Ca",501 - 1000,2006,Subsidiary Or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Granular, Intuit, John Deere",0,0,150000,238000,CA,15.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Sr,Unknown,San Francisco,Ca,500000.0,194000.0
875,Clinical Laboratory Scientist,3.7,Vail Health,"Vail, CO","Vail, Co",501 - 1000,1966,Hospital,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Unknown,1,0,49000,81000,CO,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other Scientist,Other,Unknown,Vail,Co,500000.0,65000.0
877,"Data Analyst 1, Full-Time Contract Worker For Up To 12 Months",4.2,The Church Of Jesus Christ Of Latter-Day Saints,"Salt Lake City, UT","Salt Lake City, Ut",10000+,1992,Nonprofit Organization,Religious Organizations,Non-Profit,Unknown / Non-Applicable,Unknown,0,0,35000,65000,UT,29.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Analyst,Other,Unknown,Salt Lake City,Ut,500000.0,50000.0
878,Data Scientist,3.5,Crossix Solutions,"New York, NY","New York, Ny",201 - 500,2005,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable,Unknown,0,0,77000,132000,NY,16.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Data Scientist,Other,M,New York,Ny,500000.0,104500.0
879,Data Scientist,4.3,Solugenix Corporation,"Phoenix, AZ","Brea, Ca",201 - 500,1969,Company - Private,It Services,Information Technology,$50 to $100 million (USD),Unknown,0,0,51000,88000,AZ,52.0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,Data Scientist,Other,Unknown,Phoenix,Az,500000.0,69500.0
